"Address","MaxLength","Original","Cantonese","English","Patched Japanese","Comments"
"//Please use // to comment out irrelevant lines","","","","","",""
"//Launch loading screen    ","","","","","",""
"0x1BA264","28","オートロード中です・・・","正在讀取存档・・・","Loading save file...","",""
"0x1BA104","36","メモリーカードがささっていません","未插入Sega VMU。 請到","Sega VMU is not inserted. Go to","",""
"0x1BA128","20","セーブを行うには","Flycast > Settings","Flycast > Settings","Flycast > Settings",""
"0x1BA13C","4","4","　","　","　",""
"0x1BA140","12","ブロックの"," > Controls"," > Controls"," > Controls",""
"0x1BA14C","36","空きがあるメモリーカードが必要です","Device A > 選擇 'Sega Controller'","Device A > Select 'Sega Controller'","Device A > セレクト Sega Controller",""
"0x1BA170","48","スタートボタンを押すとゲームを開始できますが","在第二行，選擇 'Sega VMU'","In the second column, select 'Sega VMU'","2番目の列では, セレクト Sega VMU",""
"0x1BA1A0","40","ゲームの内容はオートセーブされません","否則無法開始遊戲","Or else you cannot start the game","でないとゲームを開始できません。",""
"0x1BA1C8","40","ＰＲＥＳＳ　ＳＴＡＲＴ　ＢＵＴＴＯＮ","　","　","　",""
"0x1BA1F0","32","空きブロックが不足しています","沒有充足的記憶體","Not enough memory","",""
"0x1BA210","44","スタートボタンを押すとファイルを作成します","按ＳＴＡＲＴ掣建立存档","Press ＳＴＡＲＴ to create save file","",""
"0x1BA2B8","32","正しくロードできませんでした","無法正確讀取","Cannot load save file","",""
"0x1BA2D8","44","ファイルを作成中です・・・電源を切ったり","建立存档中・・・","Saving... Please do not power off","",""
"0x1BA304","44","メモリーカードを抜いたりしないでください","請勿關掉電源或取出記憶槽","or unplug memory card","",""
"0x1BA330","24","ファイルを作成しました","儲存成功","Memory is saved","",""
"0x1BA348","32","ファイルの作成に失敗しました","儲存失敗","Cannot save memory","",""
"0x1BA368","40","メモリーカードの接続を確認してください","請檢査記憶槽連接","Please verify memory connection","",""
"0x1BA390","44","スタートボタンを押すともう一度作成します","按ＳＴＡＲＴ掣再次建立存档","Press ＳＴＡＲＴ to recreate save file","",""
"0x1BA3BC","28","ファイルが破損しています","存档已損壞","Save file is corrupted","",""
"0x1BA3D8","40","オートセーブ中です・・・電源を切ったり","自動儲存中・・・","Auto saving... Please do not power off","",""
"0x1BA400","24","オートセーブしました","自動儲存成功","Auto saved","",""
"0x1BA418","32","正しくセーブできませんでした","儲存失敗","Cannot save memory","",""
"0x1BA438","28","オートセーブを解除します","取消自動儲存","Disable auto saving","",""
"0x1BA454","24","通信ゲームファイルを","連線遊戲存档","Online game save","",""
"0x1BA46C","28","すでにファイルが存在します","存档已經存在","Save file exists","",""
"0x1BA488","20","上書きしますか？","確認覆蓋？","Confirm overwrite?","",""
"0x1BA49C","44","ポート　　のメモリーカードが抜かれています","原本在　　的記憶槽已被移除","Slot　　　's memory card is removed","",""
"0x1BA4C8","44","オートセーブを解除してゲームを続けますか？","要取消自動儲存並繼續遊戲？","Disable auto saving and continue the game?","",""
"//0x1BA4F4","24","通信ゲームファイルの","","","",""
"//0x1BA50C","4","９","","","",""
"0x1BA510","28","オートセーブを解除しました","自動儲存已取消","Auto saving is disabled","",""
"0x1BA52C","8","はい","確定","Yes","",""
"0x1BA534","12","／いいえ","／取消","／No","",""
"0x1BA540","8","はい／","確定／","Yes／","",""
"0x1BA548","8","いいえ","取消","No","",""
"0x1BA23C","40","ポート　　のメモリーカードを使用します","將使用　　的記憶槽","Slot　　　's memory card will be used","",""
"0x1BA280","24","オートロードしました","自動讀取完成","Auto load completed","",""
"0x1BA298","32","以後ここにオートセーブします","以後亦會儲存到同一位置","Same slot will be used onwards","",""
"//VMU operation","","","","","",""
"0x1BE414","44","セーブするメモリーカードを選んでください","請選擇要儲存的記憶槽","Please select your memory slot for saving","",""
"0x1BE440","36","メモリーカードがささっていません","未插入Sega VMU","Sega VMU is not inserted","",""
"0x1BE464","32","空きブロックが不足しています","沒有充足的記憶體","Not enough memory","",""
"0x1BE484","32","セーブを行うには４ブロックの","儲存遊戲需要4個記憶空間","4 blocks of memory is required","",""
"0x1BE4A4","36","空きがあるメモリーカードが必要です","　","to save the game","",""
"0x1BE4C8","16","セーブしました","儲存成功","Saved","",""
"0x1BE4D8","28","すでにファイルが存在します","存档已經存在","Save file exists","",""
"0x1BE4F4","20","上書きしますか？","確認覆蓋？","Confirm overwrite?","",""
"0x1BE508","8","はい","確定","Yes","",""
"0x1BE510","12","／いいえ","／取消","／No","",""
"0x1BE51C","8","はい／","確定／","Yes／","",""
"0x1BE524","8","いいえ","取消","No","",""
"0x1BE52C","36","セーブ中です・・・電源を切ったり","儲存中・・・請勿關機","Saving... Please do not power off","",""
"0x1BE550","44","メモリーカードを抜いたりしないでください","請勿關掉電源或取出記憶槽","or unplug memory card","",""
"0x1BE57C","32","以後ここにオートセーブします","以後亦會儲存到同一位置","Same slot will be used onwards","",""
"0x1BE59C","32","正しくセーブできませんでした","儲存失敗","Cannot save memory","",""
"0x1BE5BC","28","オートセーブを解除します","取消自動儲存","Cancel auto save","",""
"0x1BE5D8","16","ロードしました","讀取完成","Load completed","",""
"0x1BE5E8","44","ロードするメモリーカードを選んでください","請選擇要載入的記憶槽","Please select your memory slot for loading","",""
"0x1BE614","32","正しくロードできませんでした","無法正確讀取","Cannot load save file","",""
"0x1BE634","28","セーブファイルがありません","找不到遊戲存档","There is no save file","",""
"0x1BE650","36","ロード中です・・・電源を切ったり","載入中・・・請勿關機","Loading... Please do not power off","",""
"0x1BE674","28","ファイルが破損しています","請勿關掉電源或取出記憶槽","or unplug memory card","",""
"0x1BE690","22","年　月　日　時　分","年　月　日　時　分","／　／　　　：　　","",""
"0x1BE6A4","32","セーブを行うには９ブロックの","儲存連線遊戲需要9個記憶空間","9 blocks of memory is required","",""
"0x1BE6C4","32","通信ゲームファイルがありません","找不到連線存档","There is no online game save","",""
"0x1BE6E4","20","プレーヤー１だよ","Player 1","Player 1","",""
"0x1BE6F8","20","プレーヤー２だよ","Player 2","Player 2","",""
"0x1BE70C","20","プレーヤー３だよ","Player 3","Player 3","",""
"0x1BE720","20","プレーヤー４だよ","Player 4","Player 4","",""
"//Ranking","","","","","",""
"0x1BE870","8","二等兵","二等兵","PSC","",""
